Classifier,Field1,Field2,,accuracy, precision, recall, f1, f2
Decision Tree, to_poi_ratio, exercised_stock_percent, , 0.79925, 0.37599, 0.31000, 0.33982, 0.32128
Decision Tree, to_poi_ratio, bonus_total_ratio, , 0.76500, 0.40000, 0.35000, 0.37333, 0.35897
Decision Tree, bonus_salary_ratio, exercised_stock_percent, , 0.74683, 0.22540, 0.21300, 0.21902, 0.21537
Decision Tree, bonus_salary_ratio, bonus_total_ratio, , 0.71689, 0.35654, 0.34050, 0.34834, 0.34359
Decision Tree, exercised_stock_percent, bonus_total_ratio, , 0.77008, 0.32820, 0.36250, 0.34450, 0.35508
Random Forest, total_payments, total_stock_value, , 0.85513, 0.37109, 0.12450, 0.18645, 0.14358
Random Forest, total_payments, exercised_stock_options, , 0.84086, 0.38690, 0.19500, 0.25931, 0.21647
Random Forest, total_payments, bonus, , 0.84185, 0.47323, 0.24750, 0.32502, 0.27360
Random Forest, total_payments, restricted_stock, , 0.82150, 0.08067, 0.02400, 0.03699, 0.02792
Random Forest, total_payments, shared_receipt_with_poi, , 0.81971, 0.21018, 0.09500, 0.13085, 0.10669
Random Forest, total_payments, to_messages, , 0.81471, 0.11825, 0.04600, 0.06623, 0.05240
Random Forest, total_payments, from_messages, , 0.79979, 0.03368, 0.01450, 0.02027, 0.01636
Random Forest, total_payments, from_poi_ratio, , 0.80523, 0.17952, 0.07450, 0.10530, 0.08437
Random Forest, total_payments, shared_receipt_poi_ratio, , 0.83143, 0.31891, 0.15850, 0.21176, 0.17623
Random Forest, total_payments, to_poi_ratio, , 0.78677, 0.10612, 0.05200, 0.06980, 0.05791
Random Forest, total_payments, bonus_salary_ratio, , 0.81646, 0.23416, 0.08500, 0.12472, 0.09741
Random Forest, total_payments, exercised_stock_percent, , 0.81543, 0.19835, 0.09600, 0.12938, 0.10705
Random Forest, total_payments, bonus_total_ratio, , 0.81892, 0.22170, 0.07050, 0.10698, 0.08164
Random Forest, total_stock_value, exercised_stock_options, , 0.81246, 0.30722, 0.17450, 0.22258, 0.19100
Random Forest, total_stock_value, bonus, , 0.84046, 0.46992, 0.28900, 0.35789, 0.31311
Random Forest, total_stock_value, restricted_stock, , 0.80438, 0.16357, 0.06600, 0.09405, 0.07494
Random Forest, total_stock_value, shared_receipt_with_poi, , 0.82671, 0.23441, 0.09400, 0.13419, 0.10679
Random Forest, total_stock_value, to_messages, , 0.83279, 0.24361, 0.08100, 0.12158, 0.09348
Random Forest, total_stock_value, from_messages, , 0.81993, 0.19603, 0.08400, 0.11761, 0.09484
Random Forest, total_stock_value, from_poi_ratio, , 0.81362, 0.27853, 0.13300, 0.18003, 0.14852
Random Forest, total_stock_value, shared_receipt_poi_ratio, , 0.85014, 0.45168, 0.22900, 0.30392, 0.25405
Random Forest, total_stock_value, to_poi_ratio, , 0.80177, 0.20651, 0.10150, 0.13610, 0.11299
Random Forest, total_stock_value, bonus_salary_ratio, , 0.83123, 0.38341, 0.15950, 0.22528, 0.18059
Random Forest, total_stock_value, exercised_stock_percent, , 0.81177, 0.25084, 0.11250, 0.15533, 0.12645
Random Forest, total_stock_value, bonus_total_ratio, , 0.83146, 0.37677, 0.14600, 0.21045, 0.16638
